Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
950000000,-12.81320351,21.1376519,-338.8623481,-3.103567503,74.29018492,-285.7098151,-1.830295085,84.97484877,-275.0251512,-10.66023291,27.03800764,-332.9619924
962500000,-12.57516878,18.76138962,-341.2386104,-2.390722902,70.00115976,-289.9988402,-2.499742686,85.36046954,-274.6395305,-12.23324377,26.34295524,-333.6570448
975000000,-11.36983511,14.4452608,-345.5547392,-1.753381573,70.92110972,-289.0788903,-3.837045964,79.68044684,-280.3195532,-12.74224103,27.43837008,-332.5616299
987500000,-12.70247514,14.0710819,-345.9289181,-2.321300044,74.17897741,-285.8210226,-4.138578228,69.85783248,-290.1421675,-11.0182356,25.31167292,-334.6883271
1000000000,-11.78686205,10.1050669,-349.8949331,-3.654262176,73.32725981,-286.6727402,-3.583612495,59.21500936,-300.7849906,-11.58744434,25.30013021,-334.6998698
1012500000,-11.28476183,-0.027490029,-360.02749,-4.596497226,65.27334389,-294.7266561,-2.792832258,55.31373242,-304.6862676,-10.59697742,18.63953842,-341.3604616
1025000000,-12.23984734,-9.090070303,-369.0900703,-4.666665806,54.9070722,-305.0929278,-2.34972164,58.01033307,-301.9896669,-11.51940185,13.08470171,-346.9152983
1037500000,-11.81229806,-7.274741548,-367.2747415,-3.779581736,48.69866666,-311.3013333,-2.584076955,59.923831,-300.076169,-10.4276135,17.13453025,-342.8654698
1050000000,-9.235402876,-5.564595147,-365.5645951,-2.723620396,46.76092735,-313.2390727,-3.20760252,55.46995921,-304.5300408,-9.407038075,71.21792389,-288.7820761
1062500000,-11.82840651,-11.2456716,-371.2456716,-2.727403947,49.86962586,-310.1303741,-4.154326746,52.32078702,-307.679213,-11.87757828,2.324100156,-357.6758998
1075000000,-11.01690933,-13.87515613,-373.8751561,-3.048232809,50.6532109,-309.3467891,-4.294540396,42.9709986,-317.0290014,-13.34020254,-9.949642763,-369.9496428
1087500000,-11.60800214,-20.60191556,-380.6019156,-3.839547487,44.70104679,-315.2989532,-3.96382626,36.78612932,-323.2138707,-12.35313493,0.869908676,-359.1300913
1100000000,-12.22748138,-20.89410602,-380.894106,-4.021254176,37.84767547,-322.1523245,-3.358469976,34.18057341,-325.8194266,-13.47317636,-12.6278829,-372.6278829
1112500000,-12.5856718,-29.32328928,-389.3232893,-3.483283853,31.09983709,-328.9001629,-3.185447003,34.22931646,-325.7706835,-15.31733942,-26.98333807,-386.9833381
1125000000,-12.82735791,-30.74630799,-390.746308,-3.72852244,29.69876119,-330.3012388,-3.686107272,27.68129454,-332.3187055,-16.26627569,-18.64921606,-378.6492161
1137500000,-12.91763341,-34.03080663,-394.0308066,-3.395854516,23.2628211,-336.7371789,-3.310005776,25.91150321,-334.0884968,-16.27452694,-33.1378606,-393.1378606
1150000000,-13.24669209,-36.37969515,-396.3796952,-3.335551462,20.17704218,-339.8229578,-3.532760739,24.6606226,-335.3393774,-14.90180829,-47.16219806,-407.1621981
1162500000,-14.33288206,-39.87053152,-399.8705315,-3.252412498,17.25600233,-342.7439977,-3.877048294,21.62188181,-338.3781182,-14.32124625,-40.78094265,-400.7809427
1175000000,-15.9151143,-49.45246096,-409.452461,-3.438613924,15.70206913,-344.2979309,-4.232487954,15.7214155,-344.2785845,-17.42382544,-56.68590245,-416.6859025
1187500000,-14.88467868,-61.4353734,-421.4353734,-3.975369036,11.75118737,-348.2488126,-4.17959314,10.92138547,-349.0786145,-17.73878393,-69.56798469,-429.5679847
1200000000,-15.00617177,-49.91538492,-409.9153849,-4.174520369,8.759414986,-351.240585,-3.965951395,6.482121739,-353.5178783,-17.08625936,-71.28180411,-431.2818041
