Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-12.965982425928722,52.01639791394688,52.01639791394688,-5.891104948167499,-137.4107763686603,-137.4107763686603,-5.474309948810932,-127.39326342011057,-127.39326342011057,-9.985762595878843,45.06833184826717,45.06833184826717
512500000,-11.27026578161599,42.04209387594134,42.04209387594134,-5.204220083517573,-140.7656735610606,-140.7656735610606,-6.061430901812313,-133.25772821427176,-133.25772821427176,-10.592312831557445,50.72546360579163,50.72546360579163
525000000,-14.619491650453543,36.28089950031152,36.28089950031152,-4.716649536439935,-143.95357963756084,-143.95357963756084,-5.884714618936871,-141.3816379014246,-141.3816379014246,-7.592291910332567,37.123977373809616,37.123977373809616
537500000,-11.649779884358274,33.740863080588234,33.740863080588234,-4.582869011292448,-138.6200823873429,-138.6200823873429,-5.22776308761864,-145.65897519554056,-145.65897519554056,-12.881265641723552,37.71795898191737,37.71795898191737
550000000,-12.524007071936076,31.18882210479628,31.18882210479628,-5.394356775008973,-140.5061044747932,-140.5061044747932,-4.535938755773474,-146.69734226321793,-146.69734226321793,-13.345009546960915,29.456870887104163,29.456870887104163
562500000,-14.100244695110707,28.73486853701318,28.73486853701318,-5.6560861676299865,-147.0468936429719,-147.0468936429719,-4.432670144711751,-144.37066349825454,-144.37066349825454,-13.046046183275413,18.351332558595,18.351332558595
575000000,-15.877111768795459,12.831128107496077,12.831128107496077,-5.217001611589197,-152.46821655194438,-152.46821655194438,-5.0420456988248645,-144.5773783620666,-144.5773783620666,-13.573911602525886,19.717349028956452,19.717349028956452
587500000,-14.57995671442038,5.037612423440067,5.037612423440067,-4.452591390667374,-155.41994520966642,-155.41994520966642,-5.485510236137291,-152.58973807764724,-152.58973807764724,-15.452418084636456,22.64164871712261,22.64164871712261
600000000,-14.643770694363285,0.018431871327916856,0.018431871327916856,-4.041904514212077,-154.10195918059785,-154.10195918059785,-4.911822404575228,-158.0215943523953,-158.0215943523953,-17.430531747518952,-3.9243417559828067,-3.9243417559828067
612500000,-17.371161256699644,4.568221075043948,4.568221075043948,-4.2450959506067285,-157.97301391718986,-157.97301391718986,-4.241395788843661,-162.50755578253668,-162.50755578253668,-17.526968343339963,1.6327315794142594,1.6327315794142594
