Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-11.586618573095402,44.77908926039014,44.77908926039014,-5.5472198441256735,-81.91066159751135,-81.91066159751135,-4.377955854687531,-76.61867572719139,-76.61867572719139,-4.392884073078983,76.09093209429727,76.09093209429727
512500000,-11.361031662722386,32.76323278437503,32.76323278437503,-5.184838845513462,-88.30953077284161,-88.30953077284161,-5.3285195046049925,-78.65690617709893,-78.65690617709893,-4.014375221399893,79.50600563294987,79.50600563294987
525000000,-13.623384074260919,55.95666289703691,55.95666289703691,-3.7844856610805366,-93.1160904209507,-93.1160904209507,-5.625386082885396,-84.96798858420172,-84.96798858420172,-2.2380398177031653,71.14734321163677,71.14734321163677
537500000,-11.463385965507785,32.225144351224,32.225144351224,-3.687649776501134,-86.45078261515856,-86.45078261515856,-5.664570312116237,-92.55626482320898,-92.55626482320898,-5.307152435449444,83.58544437609332,83.58544437609332
550000000,-11.304415418271565,23.457844399100964,23.457844399100964,-4.380993326820021,-86.46777075899257,-86.46777075899257,-5.079688284684756,-97.37875000933309,-97.37875000933309,-5.364724469667539,72.79029026337528,72.79029026337528
562500000,-13.080828294485244,18.860832021843837,18.860832021843837,-5.485835743908012,-88.07684070824804,-88.07684070824804,-4.432709237896791,-96.24277643750617,-96.24277643750617,-4.952468304058551,62.15215434994381,62.15215434994381
575000000,-14.043979598739726,11.769562446689802,11.769562446689802,-6.108723913646963,-97.07252418602795,-97.07252418602795,-4.955397767188898,-91.77298968464339,-91.77298968464339,-3.738493741721522,57.896114093444396,57.896114093444396
587500000,-12.914025337069237,2.870145124286065,2.870145124286065,-5.263668810183573,-105.67489274455122,-105.67489274455122,-6.09738458695237,-92.49195903545404,-92.49195903545404,-3.471092513100187,63.11128522201598,63.11128522201598
600000000,-14.560402921019037,-0.3400365880727549,-0.3400365880727549,-3.996465690074935,-106.74669360786821,-106.74669360786821,-6.6468936333948925,-96.4781300857238,-96.4781300857238,-4.568815044803684,60.008473557133364,60.008473557133364
612500000,-15.064840730163825,-11.533568874334588,-11.533568874334588,-3.2955885678822168,-102.53959894594459,-102.53959894594459,-6.426560610361123,-107.00005574088331,-107.00005574088331,-4.595158389573192,56.82095264737512,56.82095264737512
625000000,-15.210082511995795,-33.19169582861284,-33.19169582861284,-4.546140549053824,-102.10491547540697,-102.10491547540697,-5.301855433341487,-110.09017558187703,-110.09017558187703,-4.778701620961116,43.615528955126834,43.615528955126834
637500000,-15.97974279110539,-43.10909520897085,-43.10909520897085,-5.206965306278998,-110.49236987647039,-110.49236987647039,-4.683058921498255,-109.44950711601716,-109.44950711601716,-3.7617007664527535,40.47560983588606,40.47560983588606
650000000,-17.26518854737457,-34.954917493993044,-34.954917493993044,-5.75933061981609,-119.3319773754805,-119.3319773754805,-5.047818999453144,-111.48370331417046,-111.48370331417046,-4.58390029673912,37.94097312713239,37.94097312713239
662500000,-19.9335129134791,-40.65024465794998,-40.65024465794998,-5.453773273260701,-125.27603963770954,-125.27603963770954,-5.995978834678295,-117.287583130587,-117.287583130587,-4.801241709827507,34.802392338099686,34.802392338099686
675000000,-21.9838598325091,-63.741850119612394,-63.741850119612394,-5.446520274927274,-127.14571824847337,-127.14571824847337,-6.505032041987494,-122.08031594302582,-122.08031594302582,-4.754703620379465,25.604613583830517,25.604613583830517
687500000,-19.14410177170668,-96.1550140108175,-96.1550140108175,-5.879827048933832,-127.26296046749286,-127.26296046749286,-6.723076035736755,-127.4320023453713,-127.4320023453713,-4.351501716333582,17.845065480215343,17.845065480215343
700000000,-19.394734845378466,-97.24541889875411,-97.24541889875411,-7.330117703981988,-125.35732241836581,-125.35732241836581,-7.1604459021225795,-127.3448041633072,-127.3448041633072,-4.2178157603961255,11.428280981068694,11.428280981068694
712500000,-21.841984325783592,-107.32623119083956,-107.32623119083956,-8.399417202834098,-133.61371155327424,-133.61371155327424,-7.594306286033985,-126.47519147824747,-126.47519147824747,-4.176790541016658,6.484323420901724,6.484323420901724
725000000,-22.49357874793499,-137.56707097008757,-137.56707097008757,-8.772444389725738,-139.02180357968874,-139.02180357968874,-8.643066619892972,-122.53277254623977,-122.53277254623977,-4.773152553944545,-0.7638923812868409,-0.7638923812868409
737500000,-22.05217699900285,-146.62107085824135,-146.62107085824135,-8.471905313857087,-137.4386855593955,-137.4386855593955,-10.208039982359596,-122.60258759860668,-122.60258759860668,-3.9591692876674727,-3.2725962352312514,-3.2725962352312514
750000000,-21.172372126921672,-155.31009041198232,-155.31009041198232,-8.954820586334634,-131.30158328189643,-131.30158328189643,-10.554266696102514,-128.88641368059675,-128.88641368059675,-4.222743484990568,-6.919690098050004,-6.919690098050004
762500000,-21.60737381596348,-173.37696153095126,-173.37696153095126,-10.374724783092548,-126.94724417544089,-126.94724417544089,-10.22319088017322,-130.22318551946557,-130.22318551946557,-4.338129836436399,-12.940284459436123,-12.940284459436123
775000000,-21.334707635435937,149.40456275458084,-210.59543724541916,-12.026217779023028,-126.82352041373588,-126.82352041373588,-9.643264622760316,-123.28145062386452,-123.28145062386452,-4.728589833981992,-17.177911511760055,-17.177911511760055
787500000,0.9127142727159278,173.0730363271405,-186.9269636728595,-17.407341252816902,-68.8823527533676,-68.8823527533676,-22.08362714280922,122.9409766349039,-237.0590233650961,-15.01500072256772,-77.71339910887816,-77.71339910887816
800000000,-21.504985641304202,138.55406509359514,-221.44593490640486,-11.397512110594066,-127.58242816405074,-127.58242816405074,-10.589398559199665,-108.8605556147957,-108.8605556147957,-4.521435564237541,-31.913325960968816,-31.913325960968816
812500000,-19.88459304061186,110.7532302322279,-249.2467697677721,-10.220083300373162,-120.95438016677647,-120.95438016677647,-11.506233534591646,-108.53198901359461,-108.53198901359461,-4.173975941538099,-35.898451940445135,-35.898451940445135
