Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-10.928994361009751,44.00395875149755,44.00395875149755,-5.915978755283095,-145.21144355633513,-145.21144355633513,-5.782677152595993,-139.7962953938128,-139.7962953938128,-5.005882448961044,82.22672046801635,82.22672046801635
512500000,-11.194827018363963,37.724510592109056,37.724510592109056,-4.685333059212921,-151.03762581666172,-151.03762581666172,-6.182317450016928,-146.3967911768698,-146.3967911768698,-3.3137955199268387,79.44490019527686,79.44490019527686
525000000,-11.258852501939959,21.434526117521653,21.434526117521653,-4.3690355390867825,-149.67319072143263,-149.67319072143263,-5.995755658101778,-156.207438413331,-156.207438413331,-3.863915173712911,104.10209712361649,104.10209712361649
537500000,-11.511756743480682,35.40144440548691,35.40144440548691,-4.552622653667819,-150.5250303448286,-150.5250303448286,-5.394242703464204,-158.83244314038228,-158.83244314038228,-4.084223919277938,83.6296805094518,83.6296805094518
550000000,-11.353593871855397,33.11880457209353,33.11880457209353,-5.336810222003352,-154.08753065890323,-154.08753065890323,-4.982766404915458,-159.00697709896156,-159.00697709896156,-5.267859012350538,78.86291846786092,78.86291846786092
562500000,-12.669886664152,27.499422457863485,27.499422457863485,-5.669866210380663,-161.11226147904597,-161.11226147904597,-5.320266638794635,-160.22306751591768,-160.22306751591768,-4.634883185992908,63.63528485720705,63.63528485720705
575000000,-13.852861848443352,18.20185087226412,18.20185087226412,-5.206818529227622,-169.32826456331412,-169.32826456331412,-6.007046427308836,-161.63344980674916,-161.63344980674916,-3.5482902923980744,59.13270937801317,59.13270937801317
587500000,-14.161024330228095,15.674983003996076,15.674983003996076,-4.438814591550858,-173.00293975091174,-173.00293975091174,-6.189349804002124,-168.92079883148733,-168.92079883148733,-2.9061770362843102,61.666734924399606,61.666734924399606
600000000,-14.523502101543414,14.723967447302169,14.723967447302169,-4.321651254222406,-175.59138602683615,-175.59138602683615,-5.659283481280529,-174.37957342264144,-174.37957342264144,-3.6296478680554034,63.61434029044767,63.61434029044767
612500000,-15.753618199521785,17.736948104461103,17.736948104461103,-4.254759210045194,179.14536696482145,-180.85463303517855,-5.148615678738232,-176.80356457473025,-176.80356457473025,-4.744249166663311,58.11257243835625,58.11257243835625
625000000,-17.708111127605704,11.737066566518363,11.737066566518363,-4.167063523447243,174.3198107391342,-185.6801892608658,-5.104880603602545,-179.9086161032295,-179.9086161032295,-4.413482161541486,47.91247899198765,47.91247899198765
637500000,-19.074193275881036,13.02623703103842,13.02623703103842,-4.016268487827633,171.82759158864565,-188.17240841135435,-4.707693134758287,171.78906416527383,-188.21093583472617,-3.502845475343202,41.00832268873108,41.00832268873108
650000000,-20.327857078991045,6.6205423852394185,6.6205423852394185,-4.44734587064925,165.57621538300046,-194.42378461699954,-4.220228627158603,165.0432393782295,-194.9567606217705,-3.1926235643899736,40.31514406857838,40.31514406857838
662500000,-20.85740632112153,-4.9361018454280075,-4.9361018454280075,-4.8049019324721085,156.4111834682043,-203.5888165317957,-3.932618370172849,162.78074767023602,-197.21925232976398,-3.36435952208268,38.93276428992217,38.93276428992217
675000000,-25.17509908982035,-7.33474464637798,-7.33474464637798,-4.433859289297704,145.13234342122084,-214.86765657877916,-4.182692184598592,156.450966253732,-203.549033746268,-4.064925688727325,31.71055580072137,31.71055580072137
687500000,-24.434172599821387,-52.426366731658305,-52.426366731658305,-3.7216652127732863,140.60523753063558,-219.39476246936442,-5.093647600692426,149.72456952111753,-210.27543047888247,-4.372960052926183,23.710879349673995,23.710879349673995
700000000,-28.99900882371591,-13.652326677752763,-13.652326677752763,-3.8580392843184703,139.59341720468524,-220.40658279531476,-5.662704924373793,140.85959024705542,-219.14040975294458,-3.664805665193512,13.888555963846041,13.888555963846041
