Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-11.197383182732445,44.317347544969394,44.317347544969394,-5.845311238456407,-146.25358757850444,-146.25358757850444,-5.788356582318346,-139.2313771462475,-139.2313771462475,-4.9113385521610695,80.10448355715552,80.10448355715552
512500000,-11.163170796236608,36.900227320755484,36.900227320755484,-4.70917038750789,-150.50102072403928,-150.50102072403928,-6.233854816220883,-146.85279090558657,-146.85279090558657,-3.443637663469756,79.98722863893406,79.98722863893406
525000000,-10.740934942746057,7.384224809961387,7.384224809961387,-4.047860306748056,-146.41253635409436,-146.41253635409436,-5.971193067733523,-159.1805710989404,-159.1805710989404,-3.527296011385432,108.00732794822895,108.00732794822895
537500000,-11.570242626226035,33.333749656756844,33.333749656756844,-4.721918753358818,-151.8683520246386,-151.8683520246386,-5.499193512879483,-158.61719580306087,-158.61719580306087,-4.18536963370551,83.05106297785649,83.05106297785649
550000000,-11.583392039245437,32.7401865437466,32.7401865437466,-5.2711413686038675,-153.249011082675,-153.249011082675,-5.010515552800637,-160.18414425359637,-160.18414425359637,-5.249051865001698,75.88147407004239,75.88147407004239
562500000,-12.79641690045229,28.582174507715813,28.582174507715813,-5.67090751007612,-161.44894977214835,-161.44894977214835,-5.3214947104598895,-159.8929439105489,-159.8929439105489,-5.18203066917391,63.557518360788634,63.557518360788634
575000000,-14.036151825354866,18.899632476904745,18.899632476904745,-5.1325214543607,-169.28581468483904,-169.28581468483904,-5.992462266045983,-161.9719799227726,-161.9719799227726,-3.3941652079742592,59.321816818673916,59.321816818673916
587500000,-13.892094576287368,21.577379301487806,21.577379301487806,-4.504610129076973,-173.50646840999403,-173.50646840999403,-6.278473191595704,-169.78123073383986,-169.78123073383986,-2.813474354144498,60.397811521066004,60.397811521066004
600000000,-15.705362646201404,21.604560770431075,21.604560770431075,-4.235834742736367,-175.82191519604208,-175.82191519604208,-5.614771997811717,-174.3710870133319,-174.3710870133319,-3.518340170765018,63.77902162652015,63.77902162652015
612500000,-16.891103195456193,18.456423593325166,18.456423593325166,-4.2725198909843085,178.7878362876564,-181.2121637123436,-5.190257824386056,-177.26776627966473,-177.26776627966473,-4.7201212753511275,58.437955728865624,58.437955728865624
625000000,-18.366308194082396,13.040324756125681,13.040324756125681,-4.11975212947489,174.29404006330063,-185.70595993669937,-5.024494658820763,-179.95539785711622,-179.95539785711622,-4.500409340787422,48.86083471829449,48.86083471829449
637500000,-18.70127055531909,9.085673207034402,9.085673207034402,-4.058942384988637,171.5604300772078,-188.4395699227922,-4.649893242297626,171.08590720703762,-188.91409279296238,-3.451541710934422,43.61334824372028,43.61334824372028
650000000,-19.686883739762884,15.349095090838027,15.349095090838027,-4.418876942446794,165.6087838374668,-194.3912161625332,-4.215996443026951,164.73060402370442,-195.26939597629558,-3.1824080455948685,41.90905659518428,41.90905659518428
662500000,-21.716780344290186,-7.892365601743777,-7.892365601743777,-4.84771375305968,157.14962345995838,-202.85037654004162,-3.9599875583042192,162.50737031647753,-197.49262968352247,-3.3068307617145116,40.328786084558786,40.328786084558786
675000000,-23.337611909506354,-5.557659738907512,-5.557659738907512,-4.4163672049881555,145.6565747084385,-214.3434252915615,-4.137544698431929,156.39310570778125,-203.60689429221875,-4.1260755992538725,29.507721876456017,29.507721876456017
687500000,-24.481081638924223,-36.01921510429119,-36.01921510429119,-3.714649464653233,141.76999608816047,-218.23000391183953,-5.039725570819138,150.65344754962894,-209.34655245037106,-4.0614149652667155,23.00843288193423,23.00843288193423
700000000,-34.53969299953517,-32.30372256767211,-32.30372256767211,-3.934797112484209,138.9061676906707,-221.0938323093293,-5.617374435466412,139.901344378208,-220.098655621792,-3.953467985778469,14.32032446396019,14.32032446396019
712500000,-31.1657612269314,174.12317182237572,-185.87682817762428,-4.9347787811745745,134.04175060640824,-225.95824939359176,-5.138233063851404,130.2466265315235,-229.7533734684765,-3.3323743161940715,8.447039198182818,8.447039198182818
725000000,-24.294635153605327,-179.9602532669022,-179.9602532669022,-5.770680602697434,122.60359836165455,-237.39640163834545,-4.688760639932758,129.98404682650377,-230.01595317349623,-3.44540546919305,7.552439764143163,7.552439764143163
737500000,-22.56228755992259,142.1401770921628,-217.8598229078372,-5.577341234143645,110.41077926595622,-249.58922073404378,-5.650116883406903,130.18577653180802,-229.81422346819198,-3.822240652950698,-0.07695685954035598,-0.07695685954035598
750000000,-20.374811411416736,132.1637507416935,-227.8362492583065,-5.234296661386405,105.84939177514951,-254.1506082248505,-6.763624045727335,120.70287542115753,-239.29712457884247,-4.159250709398992,-8.799836075554596,-8.799836075554596
762500000,-17.48307365824249,118.90977459566469,-241.0902254043353,-6.00445733076005,110.8305310452028,-249.1694689547972,-7.040695448521107,109.31954153875017,-250.68045846124983,-3.983912517920514,-13.427623437228103,-13.427623437228103
775000000,-17.923893864041265,120.25933200861266,-239.74066799138734,-7.804681995499711,106.70696047971796,-253.29303952028204,-6.020174457992757,101.674208807899,-258.325791192101,-4.300652116143456,-18.686412753540115,-18.686412753540115
787500000,-3.1790179078550853,-63.01338331929098,-63.01338331929098,-5.5216798213399665,88.95510030063078,-271.04489969936924,-1.6791528277303314,-114.99728791822572,-114.99728791822572,-4.512001641413496,82.30032995831911,82.30032995831911
800000000,-16.061903119107726,105.13984540787347,105.13984540787347,-8.47876773867958,83.01744730875174,-276.98255269124826,-7.056749919812915,102.5861077204973,-257.4138922795027,-4.094244058439012,-33.76408218306405,-33.76408218306405
812500000,-16.223043787347834,86.76806216233383,86.76806216233383,-7.9363012231754695,81.52866433066262,-278.47133566933735,-8.590399860939971,99.16292391393456,-260.83707608606545,-4.528278481230013,-33.37117057765393,-33.37117057765393
825000000,-13.810608215333907,81.77914946079032,81.77914946079032,-8.2086344111652,83.89496316348311,-276.1050368365169,-9.27759193838398,87.498713211139,-272.50128678886097,-4.877551407797094,-34.46296143556091,-34.46296143556091
837500000,-12.644157294699403,88.8993980947815,88.8993980947815,-9.311572896871889,88.38393771236505,-271.6160622876349,-8.724552132927885,76.3302782663206,-283.6697217336794,-6.013884934439124,-34.94051578182875,-34.94051578182875
850000000,-13.042772754898122,84.5855973055939,84.5855973055939,-10.7216649418846,82.30578674538985,-277.69421325461013,-8.061031219848259,74.85621749116932,-285.14378250883067,-6.651822487251415,-43.73826099769675,-43.73826099769675
