Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-11.08811811,41.54564587,41.54564587,-5.519147991,-81.75129484,-81.75129484,-4.387774684,-76.76989483,-76.76989483,-4.730999617,77.11117271,77.11117271
512500000,-10.87572953,33.83629259,33.83629259,-5.211101279,-89.14885234,-89.14885234,-5.243635045,-79.17517451,-79.17517451,-4.077247372,81.07497214,81.07497214
525000000,-11.57798667,32.8652455,32.8652455,-4.111647462,-94.52941342,-94.52941342,-5.811855753,-86.89080885,-86.89080885,-3.569349863,83.08399277,83.08399277
537500000,-11.49407285,31.08079085,31.08079085,-3.724380415,-86.92335399,-86.92335399,-5.784651294,-92.86396378,-92.86396378,-5.006320701,83.40496272,83.40496272
550000000,-12.03895442,24.1274072,24.1274072,-4.397720759,-85.02640465,-85.02640465,-4.995173674,-97.2861708,-97.2861708,-5.510269525,72.55404884,72.55404884
562500000,-12.07490137,22.38984979,22.38984979,-5.456410642,-88.5617877,-88.5617877,-4.406641448,-96.51053574,-96.51053574,-5.130528949,63.76249232,63.76249232
575000000,-14.45744138,8.285976831,8.285976831,-5.960049593,-96.64456979,-96.64456979,-4.805695575,-90.73140157,-90.73140157,-3.946702565,60.08834661,60.08834661
587500000,-13.5683128,3.542560687,3.542560687,-5.310027423,-105.8487972,-105.8487972,-5.959453869,-92.62679786,-92.62679786,-3.463062986,64.05047521,64.05047521
600000000,-14.57909641,-5.572004224,-5.572004224,-4.024708732,-107.0947138,-107.0947138,-6.701221285,-97.12524833,-97.12524833,-4.344834803,62.84169661,62.84169661
612500000,-14.96086637,-10.92852079,-10.92852079,-3.322274246,-102.2128297,-102.2128297,-6.405656026,-106.2592373,-106.2592373,-4.557879738,56.26883109,56.26883109
625000000,-15.14387392,-32.48867452,-32.48867452,-4.51387803,-101.2709643,-101.2709643,-5.257299066,-110.052541,-110.052541,-4.908466207,43.01167903,43.01167903
637500000,-16.08177649,-41.41318748,-41.41318748,-5.16793216,-109.7461724,-109.7461724,-4.677163896,-109.390737,-109.390737,-3.836744519,40.03025808,40.03025808
650000000,-17.04734253,-35.25806205,-35.25806205,-5.778990376,-118.8786639,-118.8786639,-5.028527623,-110.6867273,-110.6867273,-4.168455898,36.30220111,36.30220111
662500000,-19.1733114,-44.18934327,-44.18934327,-5.396108893,-125.6207978,-125.6207978,-6.002358085,-116.8908623,-116.8908623,-4.844370338,36.53448682,36.53448682
675000000,-21.34088388,-60.00223284,-60.00223284,-5.317235444,-127.0761124,-127.0761124,-6.427743001,-122.1732541,-122.1732541,-4.873611782,24.80082038,24.80082038
687500000,-19.67792774,-106.0614415,-106.0614415,-6.023219931,-126.1259364,-126.1259364,-6.816027119,-126.6221761,-126.6221761,-4.451219621,17.50322537,17.50322537
700000000,-20.06582719,-98.07178783,-98.07178783,-7.309020455,-126.8010341,-126.8010341,-7.299676637,-125.8990276,-125.8990276,-4.054148822,12.28688315,12.28688315
712500000,-21.06908537,-103.5211731,-103.5211731,-8.323917442,-132.3071196,-132.3071196,-7.821902368,-127.1254375,-127.1254375,-4.395186918,7.86944155,7.86944155
725000000,-22.00372033,-139.7152448,-139.7152448,-8.718369264,-138.7594777,-138.7594777,-8.569905154,-122.147508,-122.147508,-4.138884885,-0.283999071,-0.283999071
737500000,-22.45258834,-140.5757997,-140.5757997,-8.394334473,-138.0990354,-138.0990354,-10.19043645,-122.6928907,-122.6928907,-4.466257821,-4.125894266,-4.125894266
750000000,-21.76715065,-154.2696092,-154.2696092,-9.174048723,-131.1498839,-131.1498839,-10.62183322,-128.6343125,-128.6343125,-4.186675121,-7.374131108,-7.374131108
762500000,-22.05963706,-172.0299132,-172.0299132,-10.49361341,-126.2153025,-126.2153025,-10.10270198,-129.6547658,-129.6547658,-4.642597623,-14.09855304,-14.09855304
775000000,-22.3807881,154.5992709,-205.4007291,-11.96244098,-126.7907576,-126.7907576,-9.751141353,-123.7473312,-123.7473312,-4.901517165,-20.37220957,-20.37220957
787500000,0.353872102,174.0552462,-185.9447538,-21.96183452,-39.98664315,-39.98664315,-23.56973138,-167.5003847,-167.5003847,0.392323453,76.07531246,76.07531246
800000000,-20.74840096,133.2668994,-226.7331006,-11.53489844,-129.629351,-129.629351,-10.71092174,-108.1648396,-108.1648396,-4.589648232,-32.73523899,-32.73523899
812500000,-18.61164354,121.8738811,-238.1261189,-10.36134522,-121.7360264,-121.7360264,-11.46443666,-108.9982193,-108.9982193,-4.189373094,-32.74530161,-32.74530161
825000000,-20.61616914,91.76686032,-268.2331397,-9.653687684,-109.3527711,-109.3527711,-11.07231174,-109.9867272,-109.9867272,-5.133806982,-31.65804511,-31.65804511
837500000,-17.04840417,89.76257318,-270.2374268,-10.44447086,-102.7122647,-102.7122647,-9.725892822,-114.0175539,-114.0175539,-6.201910213,-33.8114431,-33.8114431
850000000,-16.8818433,97.29599538,-262.7040046,-10.78094491,-104.423762,-104.423762,-8.257203581,-110.0090062,-110.0090062,-5.702619801,-45.66561132,-45.66561132
862500000,-16.4264518,87.134009,-272.865991,-10.56601643,-111.9855801,-111.9855801,-7.403971443,-105.0642597,-105.0642597,-6.124078915,-48.42566694,-48.42566694
875000000,-16.21839238,57.51516584,-302.4848342,-8.986378089,-116.7712784,-116.7712784,-7.57103423,-101.3130035,-101.3130035,-5.625598143,-45.08310611,-45.08310611
887500000,-14.60203482,52.90173888,-307.0982611,-7.406852767,-115.9253772,-115.9253772,-7.783957861,-103.191731,-103.191731,-5.549355941,-55.18997401,-55.18997401
900000000,-13.9755516,45.67388399,-314.326116,-6.573295419,-110.2608366,-110.2608366,-7.975120474,-112.3470922,-112.3470922,-6.22205993,-49.27186188,-49.27186188
912500000,-12.86043001,35.71223805,-324.287762,-6.871841113,-109.5231725,-109.5231725,-6.849183376,-118.6137024,-118.6137024,-7.517845261,-56.8553644,-56.8553644
925000000,-12.87055447,43.1483875,-316.8516125,-7.610189207,-113.0849419,-113.0849419,-5.723275097,-121.7291466,-121.7291466,-7.637097405,-63.37210221,-63.37210221
937500000,-12.48895162,30.98838382,-329.0116162,-7.40060808,-122.6727342,-122.6727342,-5.087142506,-121.5507014,-121.5507014,-7.654570934,-61.35217059,-61.35217059
