Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-11.84249173706133,42.03893313738221,42.03893313738221,-5.475076908928635,-81.4710080354779,-81.4710080354779,-4.500609008497969,-76.63684453934013,-76.63684453934013,-4.433807473865863,78.13873976006694,78.13873976006694
512500000,-10.72832140677196,32.97322413081045,32.97322413081045,-5.0481574362176485,-88.43492538146351,-88.43492538146351,-5.167980413069007,-78.92991622960238,-78.92991622960238,-3.9638545438727064,81.78442057798473,81.78442057798473
525000000,-11.262583211587662,13.738860217065314,13.738860217065314,-4.075592546020442,-90.30538942858286,-90.30538942858286,-6.229544847524437,-84.29030781256876,-84.29030781256876,-3.897573457997337,88.44944780290537,88.44944780290537
537500000,-12.151760692627478,31.400787190696402,31.400787190696402,-3.6873009262473415,-87.39002700260944,-87.39002700260944,-5.718479100140491,-91.97450568174914,-91.97450568174914,-4.974334174518622,83.29413465762852,83.29413465762852
550000000,-11.83905581160828,23.581561838911274,23.581561838911274,-4.435299698245131,-85.48187099016984,-85.48187099016984,-5.037415540719018,-97.43897221366453,-97.43897221366453,-5.465195517479895,73.7743960892271,73.7743960892271
562500000,-12.8307083889559,23.21160922073937,23.21160922073937,-5.530628537653403,-88.48894678161501,-88.48894678161501,-4.453100324310407,-95.87353878775204,-95.87353878775204,-5.279698168464428,61.731037990652005,61.731037990652005
575000000,-13.506368414257135,5.313210593968764,5.313210593968764,-6.0704497542118805,-96.56469432001603,-96.56469432001603,-4.8603488720305945,-91.37922835108287,-91.37922835108287,-4.225883936824527,59.12165702614138,59.12165702614138
587500000,-13.330773891064066,1.5753367077910603,1.5753367077910603,-5.23278432911353,-105.26190691892613,-105.26190691892613,-5.914534683950853,-92.57799001605368,-92.57799001605368,-3.5139566978489127,64.63437737176214,64.63437737176214
600000000,-14.22677880103797,-5.568324103072944,-5.568324103072944,-3.9921921760704175,-106.34987572578147,-106.34987572578147,-6.648970066975211,-97.13443644910933,-97.13443644910933,-4.554579913782898,61.44815663985968,61.44815663985968
612500000,-14.832394039310405,-13.018111764650493,-13.018111764650493,-3.387957148467464,-102.0855669726211,-102.0855669726211,-6.401348046210615,-106.16296397684474,-106.16296397684474,-4.577508006120248,56.40136668435429,56.40136668435429
625000000,-14.98961395575154,-37.75444680372193,-37.75444680372193,-4.393462091065551,-101.86405997492533,-101.86405997492533,-5.2641353123662915,-109.55459876611383,-109.55459876611383,-4.764052841732931,41.61063544723835,41.61063544723835
637500000,-16.5074217671966,-45.894706500571694,-45.894706500571694,-5.13368355438009,-110.5320013228049,-110.5320013228049,-4.6497740394356075,-109.37416905522393,-109.37416905522393,-3.713496551791517,40.62977819433744,40.62977819433744
650000000,-17.5652398246747,-33.68534184504842,-33.68534184504842,-5.805809692699184,-119.34994335451051,-119.34994335451051,-5.058989040060879,-111.27892800521572,-111.27892800521572,-4.508634782392547,38.022230480799934,38.022230480799934
662500000,-20.651949472608074,-37.16179616190544,-37.16179616190544,-5.38103577476682,-125.5968223282445,-125.5968223282445,-6.056473872366311,-117.38524896514942,-117.38524896514942,-4.7163660029455166,35.043916694050665,35.043916694050665
675000000,-23.110025921455453,-73.90499960413331,-73.90499960413331,-5.500040283336276,-128.4418342967679,-128.4418342967679,-6.4253781030459445,-122.55188949953377,-122.55188949953377,-4.5956150267325775,22.0078892927219,22.0078892927219
687500000,-20.12418563130728,-97.2723929387841,-97.2723929387841,-6.020902338874049,-126.29686261824122,-126.29686261824122,-6.790351724463032,-126.63775314852532,-126.63775314852532,-4.318299635748888,19.546541985692766,19.546541985692766
700000000,-19.075171460616396,-96.12659298437288,-96.12659298437288,-7.180374916440007,-126.51874772454266,-126.51874772454266,-7.187793355928824,-126.97576220517215,-126.97576220517215,-4.167356691695795,11.415498988872972,11.415498988872972
712500000,-22.06581500829944,-110.85768051101977,-110.85768051101977,-8.55860378138191,-133.4101097643428,-133.4101097643428,-7.844244771238923,-126.35329116521805,-126.35329116521805,-4.433068895898879,9.458729895257628,9.458729895257628
725000000,-23.70675252236946,-131.68301671712157,-131.68301671712157,-8.73866014799318,-136.993002427356,-136.993002427356,-8.655769801612575,-122.68598543032715,-122.68598543032715,-4.183664166834891,0.07454392639066638,0.07454392639066638
737500000,-23.090577423830055,-134.2200120348927,-134.2200120348927,-8.389274568586526,-137.99646303499776,-137.99646303499776,-10.290706110026306,-121.90309326236064,-121.90309326236064,-4.314422135515529,-2.9224958988238083,-2.9224958988238083
750000000,-21.453070263143058,-161.13278545458672,-161.13278545458672,-8.9234449914772,-132.38577274055876,-132.38577274055876,-10.71708426493878,-129.34795418789173,-129.34795418789173,-4.253976896734765,-6.237965750832345,-6.237965750832345
762500000,-21.97665316069111,-178.18014450158978,-178.18014450158978,-10.490775054688052,-127.48981415404859,-127.48981415404859,-10.06047277277222,-130.12169204054285,-130.12169204054285,-4.384543594143936,-15.043522937787884,-15.043522937787884
775000000,-22.595170780121197,155.37020602854923,-204.62979397145077,-11.928375513439526,-128.14175363656724,-128.14175363656724,-9.735890863806683,-123.78112904134966,-123.78112904134966,-4.868041862243119,-20.009484811369106,-20.009484811369106
787500000,1.2454153975919138,172.60497494743464,-187.39502505256536,-16.84485830998108,-68.15120451994481,-68.15120451994481,-20.85290694536603,126.69501260356921,-233.3049873964308,-15.178030441205706,-76.80434603951105,-76.80434603951105
800000000,-21.98964108646311,137.5665933097675,-222.4334066902325,-11.621982400880576,-129.38931275865508,-129.38931275865508,-10.75735860409253,-107.73570991990658,-107.73570991990658,-4.46251936080153,-34.15481419067487,-34.15481419067487
812500000,-18.04448110336633,111.1416699010493,-248.85833009895072,-10.037975576218596,-120.53725750816244,-120.53725750816244,-11.255118761472858,-108.4300637326869,-108.4300637326869,-4.328613128651132,-32.236037931344384,-32.236037931344384
