Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-11.653459655905017,54.499554353546934,54.499554353546934,-5.943960925867429,-137.66933734771095,-137.66933734771095,-5.531661004339755,-126.88864014085739,-126.88864014085739,-9.577408959710294,43.105588549041755,43.105588549041755
512500000,-11.760257669491722,40.984275460069796,40.984275460069796,-5.241815617250378,-140.3867589608068,-140.3867589608068,-6.019026553247865,-134.95250852494533,-134.95250852494533,-11.19072465097172,47.28261273068708,47.28261273068708
525000000,-13.228600879341814,1.0067692537268504,1.0067692537268504,-4.246717225197213,-142.11383459362065,-142.11383459362065,-5.884340439101242,-142.85406985094684,-142.85406985094684,-9.444409329013864,52.63019680688317,52.63019680688317
537500000,-12.453147180732458,33.24357233672109,33.24357233672109,-4.7834271732934495,-138.90599335025183,-138.90599335025183,-5.165207932362258,-144.93113289120464,-144.93113289120464,-12.730105383560378,39.24022673994353,39.24022673994353
550000000,-12.734267319275187,27.035776938944448,27.035776938944448,-5.272382816996403,-140.50836105702552,-140.50836105702552,-4.566418067350185,-145.51664533832928,-145.51664533832928,-13.86550503110257,30.786116299466435,30.786116299466435
562500000,-14.414800942057886,21.582380610812905,21.582380610812905,-5.664200725264355,-146.21731609984505,-146.21731609984505,-4.3694821825718675,-144.31799577493996,-144.31799577493996,-12.888312189944388,16.930596312823223,16.930596312823223
575000000,-16.048696409452692,8.400740356938801,8.400740356938801,-5.141578293837565,-153.07560675928215,-153.07560675928215,-5.114021968290543,-144.97523953406707,-144.97523953406707,-12.975456542716032,21.285341114185535,21.285341114185535
587500000,-14.09838554104268,3.922883471772203,3.922883471772203,-4.5264767549991145,-155.33415502028174,-155.33415502028174,-5.570316217214289,-152.29497820887647,-152.29497820887647,-15.008628556772427,18.644434567614592,18.644434567614592
600000000,-14.916467112862275,6.99778979320149,6.99778979320149,-4.0471527316210185,-155.467312702389,-155.467312702389,-4.893327800287585,-158.3702775821186,-158.3702775821186,-17.285482470888933,-1.2855216418970152,-1.2855216418970152
612500000,-17.022495689992287,10.087833402251801,10.087833402251801,-4.121883958732781,-157.83864771021135,-157.83864771021135,-4.236899005658904,-162.4859429534072,-162.4859429534072,-17.693410942110912,-5.930534291102453,-5.930534291102453
625000000,-19.077070833867403,-13.23946919748285,-13.23946919748285,-4.235686534459436,-163.5691201852792,-163.5691201852792,-3.978750051502412,-164.85096930144664,-164.85096930144664,-18.463600112529146,-4.331202108500333,-4.331202108500333
637500000,-19.1891313471787,-22.128810006273337,-22.128810006273337,-3.948063046714443,-167.8348626859323,-167.8348626859323,-3.7941303283435426,-167.1034132234286,-167.1034132234286,-20.572882001812438,-18.545342121086808,-18.545342121086808
650000000,-21.548711893142286,-21.16477361896644,-21.16477361896644,-3.6999746563058262,-171.4317510000057,-171.4317510000057,-3.6321407874363314,-171.29332420986537,-171.29332420986537,-20.37804703676402,-49.38044249804697,-49.38044249804697
662500000,-22.682961914139558,-38.86332479559235,-38.86332479559235,-3.5132164678996105,-173.74464636662628,-173.74464636662628,-3.49388483117178,-175.0376913076972,-175.0376913076972,-21.46315720304103,-47.86751471733134,-47.86751471733134
675000000,-25.25709513276837,-47.38059292854321,-47.38059292854321,-3.4196620127144817,-177.80155553598183,-177.80155553598183,-3.2786684151517203,-177.3788304420965,-177.3788304420965,-18.202715763009895,-45.757376513414265,-45.757376513414265
687500000,-24.88687826379205,-99.61526456827885,-99.61526456827885,-3.184495711092711,177.02473682125088,-182.97526317874912,-3.338355243814097,178.69838406346565,-181.30161593653435,-29.016323411796016,-51.47386719227562,-51.47386719227562
700000000,-25.9978455742677,-107.74442239695762,-107.74442239695762,-3.1056985522857783,174.1388436390393,-185.8611563609607,-3.2862549373456673,174.41445282286125,-185.58554717713875,-25.155068038620154,-108.26043545316814,-108.26043545316814
712500000,-23.412330813662095,-152.89346591654396,-152.89346591654396,-2.8587282598580757,169.82522206428112,-190.17477793571888,-3.2127078521431898,168.47438257004956,-191.52561742995044,-27.197387771724117,-113.26059093032758,-113.26059093032758
725000000,-23.706084678153047,-157.91850657620617,-157.91850657620617,-2.8945639877610536,165.07555502074712,-194.92444497925288,-2.5541528689158404,163.92288542771627,-196.07711457228373,-25.308153081435126,-140.67615495929726,-140.67615495929726
737500000,-22.67381522457196,-175.54624569649036,-175.54624569649036,-2.7516484983458107,158.07052963445142,-201.92947036554858,-2.47164749474023,161.58878540446855,-198.41121459553145,-26.546521544744927,-159.86534890950426,-159.86534890950426
750000000,-22.351766568992353,162.0226585113171,-197.9773414886829,-2.275097803914286,151.71026799195624,-208.28973200804376,-2.5807514900854516,156.21663187322267,-203.78336812677733,-22.13354939536125,-161.49079973274854,-161.49079973274854
762500000,-18.115510615632452,140.75119329456805,-219.24880670543195,-1.8775726185142017,149.83359554472602,-210.16640445527398,-2.630481287143947,149.42195166925342,-210.57804833074658,-24.96864719484561,-150.61934917207472,-150.61934917207472
775000000,-16.381535525566825,138.21552079284427,-221.78447920715573,-2.343935576229666,147.98083670112138,-212.01916329887862,-2.1338942587437586,143.08375818731358,-216.91624181268642,-22.5900420699333,127.73814550543219,-232.2618544945678
787500000,-5.025123050725969,-166.4903361998063,-166.4903361998063,-20.160722767517104,-9.482895410833525,-369.4828954108335,-11.869637912131683,-154.00035660464152,-154.00035660464152,-19.70991214791848,-83.70548042222376,-83.70548042222376
800000000,-17.84168406589869,112.41881363559354,-247.58118636440645,-3.1040727120866274,131.53343285193296,-228.46656714806704,-1.6626389299347488,138.11917371694574,-221.88082628305426,-18.164065955986562,105.44457405721782,-254.55542594278216
