Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-11.763150778760686,54.163788942710795,54.163788942710795,-5.952745148793093,-135.9362873063452,-135.9362873063452,-5.565603081312476,-127.23264982741307,-127.23264982741307,-10.454398171293846,49.33449325606481,49.33449325606481
512500000,-11.431241088685177,41.04193468784302,41.04193468784302,-5.294187394979241,-140.31602169649193,-140.31602169649193,-6.165143982470331,-134.1668705705775,-134.1668705705775,-10.571529352001061,46.06120321651549,46.06120321651549
525000000,-12.584366669877824,43.48187192078399,43.48187192078399,-4.350436852010128,-140.38125092719423,-140.38125092719423,-5.741885361937021,-137.77374432745222,-137.77374432745222,-10.496146901443302,46.56593919263952,46.56593919263952
537500000,-11.961915373665825,38.0654261071871,38.0654261071871,-4.635633284241168,-139.03652961138843,-139.03652961138843,-5.161930809107189,-144.74416704538632,-144.74416704538632,-12.61962398758464,39.96985772338416,39.96985772338416
550000000,-12.414706092431755,27.51852406956561,27.51852406956561,-5.469834795729919,-140.8702662226532,-140.8702662226532,-4.674238950273572,-146.387194816956,-146.387194816956,-13.163059979881455,25.03986280115383,25.03986280115383
562500000,-14.522991516020493,23.95569755479691,23.95569755479691,-5.6941414275903055,-146.33626641994542,-146.33626641994542,-4.398865354603415,-144.30606828736964,-144.30606828736964,-12.500410909050455,15.600808745687916,15.600808745687916
575000000,-16.705512162466825,9.30010415268044,9.30010415268044,-5.08599680066275,-152.37236875246788,-152.37236875246788,-5.054165774839303,-144.8050520162513,-144.8050520162513,-13.235652430136177,19.414471841418255,19.414471841418255
587500000,-14.47686561035731,8.67030346586574,8.67030346586574,-4.5122171409692005,-155.4190308356607,-155.4190308356607,-5.370731418207228,-152.29075643349896,-152.29075643349896,-15.15631666925232,22.644564514685623,22.644564514685623
600000000,-15.538241144262958,2.6070955535705647,2.6070955535705647,-4.068848206433208,-155.0749099419812,-155.0749099419812,-4.958796428659381,-157.798648024649,-157.798648024649,-16.527220884936714,-4.138165588141977,-4.138165588141977
612500000,-16.730783666726595,5.616242987590765,5.616242987590765,-4.243374009742265,-157.92814414720178,-157.92814414720178,-4.234881996952261,-162.33995980737268,-162.33995980737268,-18.530549587645286,-2.523183657284031,-2.523183657284031
625000000,-19.602899920524113,-16.30051955297356,-16.30051955297356,-4.303869653137657,-162.6793704330768,-162.6793704330768,-3.865684651326809,-164.68446579891167,-164.68446579891167,-19.032004855998615,-4.615272444478024,-4.615272444478024
637500000,-19.50440324596126,-23.782562327836832,-23.782562327836832,-3.846214605061511,-167.3075284108245,-167.3075284108245,-3.861310734779382,-166.72903780395936,-166.72903780395936,-19.95059498937109,-23.00785229932107,-23.00785229932107
650000000,-21.496871174381923,-25.729769060963857,-25.729769060963857,-3.6953944485429586,-171.39828108143482,-171.39828108143482,-3.7459828259304375,-170.6971248971876,-170.6971248971876,-19.9393700120087,-36.49427920960756,-36.49427920960756
662500000,-23.12183986511012,-40.212613180925615,-40.212613180925615,-3.4309963805997166,-174.3531704885007,-174.3531704885007,-3.477616330090847,-175.9491923708409,-175.9491923708409,-21.08904555246862,-66.9952411912447,-66.9952411912447
675000000,-25.959446955654208,-51.42086913436537,-51.42086913436537,-3.435805121252961,-177.64115792914237,-177.64115792914237,-3.26450513607833,-177.83368295631482,-177.83368295631482,-19.94373340939225,-56.60821579006797,-56.60821579006797
687500000,-22.89159686316647,-77.27431633470665,-77.27431633470665,-3.178674281567906,177.49155011397065,-182.50844988602935,-3.1873409831790314,178.05208163283044,-181.94791836716956,-23.94650389085467,-82.75515670630519,-82.75515670630519
700000000,-23.25953869004308,-102.56766761283373,-102.56766761283373,-3.0866410051211455,174.07876487350742,-185.92123512649258,-3.207035532804901,173.7987236743403,-186.2012763256597,-23.697037619511224,-108.7346414181515,-108.7346414181515
712500000,-22.32591074080073,-146.9401543027326,-146.9401543027326,-2.8779270128068983,170.04875602675756,-189.95124397324244,-3.1740385226599925,168.1077391225487,-191.8922608774513,-24.24361026501922,-112.38767432323033,-112.38767432323033
725000000,-22.731920963812385,-152.21236748695537,-152.21236748695537,-2.8541204268650837,165.89686780898134,-194.10313219101866,-2.5297721470421908,163.92940979695197,-196.07059020304803,-27.54650616183604,-120.57385291784554,-120.57385291784554
737500000,-22.342538833457567,-172.37940181072838,-172.37940181072838,-2.801067003265552,158.23631060142745,-201.76368939857255,-2.4836410980262253,161.92259885271818,-198.07740114728182,-24.751644211474748,-165.09782926382974,-165.09782926382974
750000000,-22.002549847486023,166.27217826374027,-193.72782173625973,-2.1275842198929653,151.4898374903657,-208.5101625096343,-2.598387926053785,156.83461223498176,-203.16538776501824,-26.400156001889524,-173.12679434641385,-173.12679434641385
762500000,-17.408180218481935,137.55111239554714,-222.44888760445286,-1.8643437402682732,150.39552920921005,-209.60447079078995,-2.6337813004579,149.681890611836,-210.318109388164,-25.373016188514107,-157.68342596817592,-157.68342596817592
775000000,-16.45238828375497,141.61125003935658,-218.38874996064342,-2.449841640890709,147.79105676953702,-212.20894323046298,-2.3338103109094015,142.7319951790334,-217.2680048209666,-22.609447298354375,123.2559801396052,-236.74401986039481
787500000,-4.247908957617245,-170.7212041032136,-170.7212041032136,-16.546938595985733,-38.153135866637705,-38.153135866637705,-13.956369455619644,-104.34798303513425,-104.34798303513425,-4.2298879824845494,72.11787763186686,-287.88212236813314
800000000,-18.112282540241548,116.70339250893255,-243.29660749106745,-3.1239975253893224,132.40389246017008,132.40389246017008,-1.7265310529721485,137.8963679685348,-222.1036320314652,-18.724316320793264,105.9031132882886,-254.09688671171142
812500000,-15.149322997368085,98.0449938751581,-261.95500612484193,-2.4052438835797156,125.90475671811772,125.90475671811772,-2.4319152680204947,136.60807107839753,-223.39192892160247,-18.682347307362793,107.64421677887123,-252.35578322112877
825000000,-15.208611887944807,88.5068858484883,-271.4931141515117,-1.7064869111548164,125.45998070344478,125.45998070344478,-3.1171810101238844,129.8009393913,-230.1990606087,-17.605033965152515,84.26502752230817,-275.7349724776918
837500000,-14.79364100639916,89.30241009097757,-270.69758990902244,-1.9046236277990811,128.17139029139088,128.17139029139088,-3.122428338028561,119.37212598009057,-240.62787401990943,-15.472366386559088,80.96267376187721,-279.0373262381228
850000000,-14.972886817506785,95.38270848178931,-264.61729151821066,-2.649243837573896,126.4815878740626,126.4815878740626,-2.382147123373696,112.7737034080683,-247.2262965919317,-16.53301631426758,62.473830523783086,-297.5261694762169
862500000,-15.680042587048524,92.84653535398664,-267.1534646460134,-3.1536080499368646,118.51379691283509,118.51379691283509,-1.3789614301535555,111.90245161894032,-248.09754838105968,-14.315123327591593,79.7534067029438,-280.24659329705617
875000000,-15.70886575536623,58.897073359610324,-301.1029266403897,-3.0108374180885873,107.9345136453608,107.9345136453608,-1.5068383143216102,113.42508462073057,-246.57491537926944,-12.39084005747789,61.28420223416536,-298.7157977658346
887500000,-14.290624235023841,55.31585487916037,-304.6841451208396,-2.0412614226061514,101.0995847233701,101.0995847233701,-2.1979939056910953,111.97226601953983,-248.02773398046017,-15.399035885299027,69.55155907090588,-290.4484409290941
900000000,-13.474152488530649,55.67236438365593,-304.3276356163441,-1.1333361866288405,100.19446961599067,100.19446961599067,-3.2098442090313077,103.88303063113439,-256.1169693688656,-12.038646104097865,48.972342475669684,-311.0276575243303
912500000,-12.586990133562097,41.76266132312474,-318.23733867687525,-1.6756183028963032,101.5446532032638,101.5446532032638,-3.3780928325924666,93.33652059010174,-266.6634794098983,-13.550176050219173,43.42636963686727,-316.57363036313274
925000000,-12.900835151667987,41.44413785496456,-318.55586214503546,-2.701254928258935,96.42943273332328,96.42943273332328,-2.7723219615193395,84.52948231402284,-275.47051768597714,-11.780866625950255,32.17455894295148,-327.8254410570485
937500000,-12.923404029473943,38.51303249776828,-321.4869675022317,-3.443213713365441,86.20664119372273,86.20664119372273,-1.8140531194369558,82.74682246369406,-277.25317753630594,-11.181417661742818,36.84169309738383,-323.1583069026162
950000000,-12.621122876365373,19.77721581656854,-340.2227841834315,-3.137510076936503,74.41969767400163,74.41969767400163,-1.8222582983519966,84.28491051758118,-275.7150894824188,-9.974502810602994,30.732154093171324,-329.26784590682865
962500000,-12.003131475489583,20.81241218845729,-339.1875878115427,-2.3898270163899644,70.01774588136827,70.01774588136827,-2.4845669099470604,85.66114172515071,-274.33885827484926,-11.974178564975213,32.71665213679358,-327.2833478632064
975000000,-11.496594940309727,15.475122563124538,-344.52487743687544,-1.954269238894527,70.58912868135221,70.58912868135221,-3.825421815945926,80.01704365384029,-279.9829563461597,-12.315886574438464,19.14278219532013,-340.85721780467986
987500000,-12.372601621425382,13.13135547477245,-346.8686445252275,-2.339964876658121,73.79496828888233,73.79496828888233,-4.209083706490105,68.58652313309733,-291.41347686690267,-10.375894229800334,19.135395162776298,-340.8646048372237
1000000000,-11.740213112934402,10.578530100263556,-349.42146989973645,-3.607466322008336,73.55628840199202,73.55628840199202,-3.725708039258329,59.5279013115801,-300.4720986884199,-11.226579160521728,20.307236786539125,-339.69276321346086
1012500000,-11.39738806204193,3.082005643482446,-356.91799435651757,-4.695519465723239,64.81177192715276,64.81177192715276,-2.817956558495178,56.05004491470569,-303.94995508529433,-10.44344578025095,15.014812222763632,-344.9851877772364
1025000000,-13.133908757649557,-4.524371580096445,-364.52437158009644,-4.62293667543194,54.95258917212416,54.95258917212416,-2.364999313995979,58.35455063308888,-301.6454493669111,-11.424284361480286,15.97152771749194,-344.02847228250806
1037500000,-11.969650435169026,-4.44194913452347,-364.4419491345235,-3.801970623943172,48.61260009655124,48.61260009655124,-2.573127861302449,60.037792425810174,-299.96220757418985,-10.630116859825625,18.089144878078965,-341.91085512192103
1050000000,-9.65098576199612,5.266925849528238,-354.73307415047174,-2.6761963100317354,43.095716264323535,43.095716264323535,-3.3210739766615887,56.445782499266016,-303.554217500734,-8.263065774562472,36.57244883748884,-323.4275511625112
1062500000,-11.767632568018776,-8.181483230446634,-368.18148323044664,-2.585279700717148,49.40654952951026,49.40654952951026,-4.2723734195743015,51.7449548645774,-308.2550451354226,-11.475636463080995,3.26513541796779,-356.73486458203223
1075000000,-11.02325218749554,-13.318581834946388,-373.3185818349464,-3.217067400586056,51.06187566581427,51.06187566581427,-4.3947941721669395,42.946560224962354,-317.05343977503765,-11.690113476510259,-6.751799475673175,-366.7517994756732
1087500000,-12.289077752771266,-18.615014101720448,-378.6150141017205,-3.745116563361102,45.547988227302675,45.547988227302675,-3.895374311819352,36.208147428169646,-323.79185257183036,-12.635356366484336,4.164597658702791,-355.8354023412972
1100000000,-11.89186806463936,-21.174443353650858,-381.1744433536509,-3.989577769323625,37.93107734752808,37.93107734752808,-3.327148735087728,34.318512124513646,-325.68148787548637,-13.790278108422632,-15.022668331994488,-375.0226683319945
1112500000,-12.54218504217569,-30.824009280695293,-390.8240092806953,-3.5465162655004163,31.845740502076225,31.845740502076225,-3.1564116196680327,34.20264335397839,-325.7973566460216,-15.560126075832027,-27.263597596726466,-387.26359759672647
1125000000,-12.98545782086836,-28.279987026083774,-388.27998702608375,-3.836678411053417,29.53289309195823,29.53289309195823,-3.7031200886663678,27.64348797008066,-332.3565120299193,-15.978224843140016,-28.08234229139322,-388.0823422913932
1137500000,-13.156638923883754,-37.050617109541754,-397.05061710954175,-3.486722930104185,23.437033825106045,23.437033825106045,-3.342962958510812,25.90400735006567,-334.0959926499343,-17.479309254082583,-42.2642482841308,-402.2642482841308
1150000000,-13.525476311808553,-33.94441696341741,-393.94441696341744,-3.4157381345009403,20.269509699277997,20.269509699277997,-3.471653479292564,25.207438322468523,-334.79256167753147,-15.096160358249804,-50.326232665892974,-410.326232665893
1162500000,-15.328167600459416,-38.48634917388322,-398.48634917388324,-3.3660169282623715,17.500293105285238,17.500293105285238,-3.7843696017023696,22.47201031895989,-337.52798968104014,-14.645366866760305,-38.324780953232924,-398.3247809532329
1175000000,-15.046861613620164,-52.6155397203676,-412.6155397203676,-3.462068989843328,15.594705479090592,15.594705479090592,-4.100550654696134,15.808786072264944,-344.1912139277351,-17.59059865866517,-53.986650397558456,-413.98665039755844
1187500000,-14.597065792702267,-62.13130797783163,-422.1313079778316,-4.032246795149211,11.908161410333163,11.908161410333163,-4.164082412978932,11.397507179195397,-348.6024928208046,-19.174303239850072,-55.45032353556794,-415.4503235355679
1200000000,-14.985889575011777,-59.85529699674386,-419.85529699674385,-4.283410210915048,8.99402914930077,8.99402914930077,-4.006605028588966,6.473013456420193,-353.5269865435798,-16.28653241018306,-72.37515619224483,-432.37515619224484
1212500000,-15.052139573773767,-58.75293983189866,-418.75293983189863,-4.077280663038046,4.391549705145937,4.391549705145937,-3.84153458928562,3.004047675854304,-356.9959523241457,-14.50532252492312,-76.58114671386397,-436.581146713864
1225000000,-16.2906801282616,-60.99041730749579,-420.9904173074958,-4.11212389199897,-0.48150796660833467,-0.48150796660833467,-3.8623258430849376,1.196684461595414,-358.8033155384046,-15.018039519750443,-77.45809381318799,-437.458093813188
1237500000,-16.59665911416421,-84.06289439823806,-444.0628943982381,-4.156531575981322,-2.006547907795553,-2.006547907795553,-4.275324928411091,1.0086004463249703,-358.991399553675,-16.977516213960328,-79.76567195178193,-439.76567195178194
1250000000,-16.595370831200853,-86.44633738996349,-446.4463373899635,-3.9302262359500166,-4.438787516111383,-4.438787516111383,-4.066384713638033,-1.9843391121533085,-361.9843391121533,-16.04935194298053,-64.28861300101777,-424.2886130010178
1262500000,-15.918686563138404,-95.81469709178411,-455.8146970917841,-4.07165430434244,-7.184072054625363,-7.184072054625363,-4.4403275237189,-5.830737587610368,-365.8307375876104,-17.245546419785665,-90.89717816641989,-450.8971781664199
1275000000,-15.380734992372966,-99.66001311506115,-459.66001311506113,-4.238049736642742,-9.755243671822292,-9.755243671822292,-4.41249813923056,-8.76444186717659,-368.7644418671766,-15.957992808722299,-99.1936505699135,-459.19365056991353
1287500000,-15.738187169891745,-105.78268354663152,-465.7826835466315,-4.457198369672156,-13.859189949426415,-13.859189949426415,-4.329622938572776,-12.38689679565164,-372.38689679565164,-15.067235530702671,-98.79925577949871,-458.7992557794987
1300000000,-16.090225966576845,-110.72670461784763,-470.72670461784764,-4.762872134581175,-16.266245671055465,-16.266245671055465,-4.2883788432532794,-17.63248348779862,-377.6324834877986,-15.524758330909442,-96.7616513091452,-456.7616513091452
1312500000,-15.768003046564074,-119.55482208532888,-479.55482208532885,-4.5223396700659215,-19.08619265689576,-19.08619265689576,-3.786376356822408,-20.95609400861742,-380.9560940086174,-16.376665560204575,-98.20249061796271,-458.2024906179627
1325000000,-16.381088251722584,-122.00960224728183,-482.0096022472818,-4.381184938624011,-25.659957980406826,-25.659957980406826,-3.5588450591734233,-24.01686399698678,-384.0168639969868,-14.698825188588568,-97.45939576518371,-457.45939576518373
1337500000,-13.381487627209392,-125.49081966732834,-485.4908196673283,-3.5470558290324163,-23.849318305095213,-23.849318305095213,-3.809025851724819,-22.198035350812354,-382.19803535081235,-14.454512490030432,-125.65939483586985,-485.6593948358699
1350000000,-13.944976179217525,-121.45765610303995,-481.45765610303994,-3.5648314550558924,-22.174840820448942,-22.174840820448942,-4.484473321392844,-22.921637797043005,-382.921637797043,-12.321199773762554,-109.57869191145295,-469.57869191145295
1362500000,-14.781211892903904,-125.67770908353918,-485.6777090835392,-4.2369170889894034,-24.296716132091078,-24.296716132091078,-4.773314117740771,-30.288439038853447,-390.2884390388534,-12.69002454739236,-107.71289899108018,-467.7128989910802
1375000000,-15.453027882059896,-130.43524027560568,-490.4352402756057,-4.727212306851768,-33.367955322794685,-33.367955322794685,-4.353859541391757,-38.09317774775851,-398.0931777477585,-16.527044123039246,-113.9122718346833,-473.9122718346833
1387500000,-12.970201067549365,-142.0400771663804,-502.0400771663804,-3.9235878959792077,-40.81019435113338,-40.81019435113338,-3.5965605352005916,-39.8109202888079,-399.8109202888079,-14.908046197690366,-125.69843996345995,-485.6984399634599
1400000000,-12.62318064187067,-140.5732777005382,-500.5732777005382,-2.7620314827025103,-44.978915758869114,-44.978915758869114,-3.041111190709232,-37.29527056724571,-397.2952705672457,-14.591255710714874,-123.37201563429406,-483.37201563429403
1412500000,-12.733413195222333,-141.372553874732,-501.37255387473203,-2.3972221374720655,-43.89972157787092,-43.89972157787092,-3.542986715713785,-36.753867447118616,-396.75386744711864,-14.780720190907635,-121.43849116322903,-481.43849116322906
1425000000,-13.48441562697432,-144.0162182866962,-504.0162182866962,-3.4292715801948406,-43.05903269227034,-43.05903269227034,-4.1771628253416395,-41.55162871870746,-401.55162871870743,-12.840974064525776,-135.2535789544999,-495.25357895449986
1437500000,-13.120770732569254,-150.76194924695844,-510.76194924695847,-4.168040697703425,-49.224265995693806,-49.224265995693806,-4.084888369353682,-52.16562227153823,-412.1656222715382,-14.186408059895951,-133.2027320538245,-493.2027320538245
1450000000,-12.567468542257107,-156.40906947266862,-516.4090694726686,-3.9968484567061546,-61.02177524779543,-61.02177524779543,-3.1483399038978757,-60.516956645888214,-420.51695664588823,-15.498183591205114,-140.13404798317856,-500.13404798317856
1462500000,-12.475705700527996,-156.54125045166649,-516.5412504516664,-2.99921590956639,-66.18937214443041,-66.18937214443041,-2.0289838348233373,-60.05593220610066,-420.05593220610064,-17.006572593054685,-129.32928892139,-489.32928892139
1475000000,-12.60154171776014,-155.43323900078306,-515.433239000783,-2.2139159084246476,-62.3584121797789,-62.3584121797789,-1.8038480689637195,-57.14827670442771,-417.1482767044277,-15.737989752772684,-138.98512319152888,-498.9851231915289
1487500000,-14.760988845525699,-173.51266716577683,-533.5126671657769,-2.621994461974827,-57.02114087281696,-57.02114087281696,-2.4223957544191723,-57.09405938537541,-417.09405938537543,-13.94274372328681,-165.07381386128606,-525.073813861286
1500000000,-15.079355606321021,-179.54523398918266,-539.5452339891826,-3.6262421198529204,-58.618832060073856,-58.618832060073856,-3.450973129500779,-64.6250933392895,-424.6250933392895,-17.59849724960863,-153.53502165270922,-513.5350216527092
1512500000,-14.042650351661392,-174.39224388726493,-534.392243887265,-4.52761106171356,-67.58991996013444,-67.58991996013444,-3.844077049004876,-77.30707312916365,-437.30707312916365,-13.614390195317498,-169.88790837908024,-529.8879083790803
1525000000,-16.13032247340401,176.684255974714,-543.315744025286,-3.371212452360987,-76.79244931767339,-76.79244931767339,-2.8641036465024827,-86.0904289159794,-446.0904289159794,-14.860371572418167,172.40995934067945,-547.5900406593205
1537500000,-14.254760394119206,-178.66733508292015,-538.6673350829201,-2.0981332417956504,-79.8021769557593,-79.8021769557593,-1.9635204195893363,-86.7858296737993,-446.7858296737993,-18.5373127787077,176.03624010671442,-543.9637598932856
1550000000,-15.241997431057094,179.26760602184117,-540.7323939781588,-1.0664750151674287,-80.10285179309767,-80.10285179309767,-1.5976859810247839,-84.52403388182661,-444.5240338818266,-16.660126616861895,136.95119067575976,-583.0488093242402
1562500000,-16.9144110414018,137.75321545385296,-582.2467845461471,-0.8358804930491643,-80.96877585722297,-80.96877585722297,-1.7522085600635504,-82.5488200146195,-442.5488200146195,-20.146064654691905,128.46226075133237,-591.5377392486677
1575000000,-11.239016418816487,-138.5850375014893,-498.5850375014893,-3.268841159728323,-53.512226844421335,-53.512226844421335,-5.587740230055385,-83.68127823207419,-443.6812782320742,-5.591692505112455,90.97309503678413,-629.0269049632159
1587500000,-16.789054520247614,137.423128792535,-582.576871207465,-1.671658577754522,-91.8619347839059,-91.8619347839059,-2.6293132061208837,-96.67350426262549,-456.6735042626255,-11.523857410408883,131.02033755097858,-588.9796624490214
1600000000,-16.856968130133033,135.75006032352456,-584.2499396764754,-1.8250882404922206,-104.49981211925898,-104.49981211925898,-1.9320225887284281,-107.17952873386807,-467.1795287338681,-12.899647801771813,130.33384641005628,-589.6661535899437
