Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-11.28401060704337,39.31330486027074,39.31330486027074,-5.525507077656311,-81.91792399231605,-81.91792399231605,-4.424697935987937,-77.06470460055503,-77.06470460055503,-4.768001713653468,76.9258568619922,76.9258568619922
512500000,-10.972298160480545,35.52823682471303,35.52823682471303,-5.065198549445999,-88.99761793601152,-88.99761793601152,-5.252855190758991,-78.9004710652571,-78.9004710652571,-3.8639522828338007,79.33400632107346,79.33400632107346
525000000,-12.203746878880688,35.39135637172138,35.39135637172138,-3.73241146433889,-97.18489778204044,-97.18489778204044,-5.9067382781754105,-84.15084959494192,-84.15084959494192,-2.522663043934469,70.93377886843406,70.93377886843406
537500000,-11.83961272057742,32.66274966123206,32.66274966123206,-3.829416346985646,-87.52112767499489,-87.52112767499489,-5.731360324128624,-92.36116529764728,-92.36116529764728,-5.304331480081209,82.44321400063386,82.44321400063386
550000000,-12.024385051780833,23.580736145187135,23.580736145187135,-4.400381313502486,-85.35115051475913,-85.35115051475913,-5.156183104092226,-97.53608057112474,-97.53608057112474,-5.578596437677492,74.73103964123203,74.73103964123203
562500000,-12.160685320691545,21.47135664943283,21.47135664943283,-5.672778476768677,-88.44358671141208,-88.44358671141208,-4.506329285119788,-96.34928883367897,-96.34928883367897,-5.308943986445618,61.32514316568738,61.32514316568738
575000000,-14.163693083347187,2.648826257245553,2.648826257245553,-6.154545079676734,-96.20062449672021,-96.20062449672021,-4.879867358498772,-90.81743647542413,-90.81743647542413,-3.953392363716357,59.82767834081182,59.82767834081182
587500000,-13.439713662932014,5.449598262273093,5.449598262273093,-5.273206900960225,-106.7969563768674,-106.7969563768674,-5.939146510756453,-92.82803687737668,-92.82803687737668,-3.4151037317647277,64.94966946793245,64.94966946793245
600000000,-14.58190512954896,-0.3603416584607019,-0.3603416584607019,-4.087815944491246,-105.87517975665918,-105.87517975665918,-6.687587938367699,-97.67425820653578,-97.67425820653578,-4.6116993696905535,61.12145674647603,61.12145674647603
612500000,-15.945731892613571,-17.10998579266466,-17.10998579266466,-3.237492553142597,-102.01696187863642,-102.01696187863642,-6.321399739361702,-106.23822461076854,-106.23822461076854,-4.610733218032277,56.41580253896355,56.41580253896355
625000000,-15.30072424575373,-33.294621597228435,-33.294621597228435,-4.515591079270507,-102.19748394147149,-102.19748394147149,-5.31281696907744,-109.36572196669584,-109.36572196669584,-4.596690666017709,42.20783683733169,42.20783683733169
637500000,-16.339386548402704,-42.18856079196342,-42.18856079196342,-5.1226732708213,-110.14768197115072,-110.14768197115072,-4.632345481412655,-109.8460162783414,-109.8460162783414,-3.8914041583379655,41.43588593116949,41.43588593116949
650000000,-17.421374689727124,-41.91099097810973,-41.91099097810973,-5.785480817966414,-119.64671821938617,-119.64671821938617,-5.005647282529542,-111.16392636146077,-111.16392636146077,-4.1472218682152,37.26720264340678,37.26720264340678
662500000,-19.160896426889693,-38.81214179660284,-38.81214179660284,-5.55686990842573,-125.14309061240742,-125.14309061240742,-5.935098168880563,-117.88115344969297,-117.88115344969297,-4.979412326519429,36.15336891185629,36.15336891185629
675000000,-22.187875439438894,-45.918795894235224,-45.918795894235224,-5.370884453361401,-126.66278566574422,-126.66278566574422,-6.45398610296173,-122.33792536255781,-122.33792536255781,-4.612907375528034,22.03437727451176,22.03437727451176
687500000,-19.02553342239751,-94.8076405070399,-94.8076405070399,-6.038086456973194,-126.29590632123441,-126.29590632123441,-6.799254722802833,-126.35434564117239,-126.35434564117239,-4.511841342759325,18.081573817483854,18.081573817483854
700000000,-18.424963534268354,-92.18097957344496,-92.18097957344496,-7.351729246972156,-127.05042834768923,-127.05042834768923,-7.344129258482209,-127.92871525552897,-127.92871525552897,-4.369460600700878,12.273294232386153,12.273294232386153
712500000,-20.93529667142167,-106.8717958147577,-106.8717958147577,-8.656158661689394,-133.42643222278656,-133.42643222278656,-7.750529237880187,-126.54139024442665,-126.54139024442665,-4.3811450753034356,7.394421802122965,7.394421802122965
725000000,-23.285967071321764,-137.94179455473864,-137.94179455473864,-8.780488443069357,-138.54292487532916,-138.54292487532916,-8.645502990867037,-123.83048736110597,-123.83048736110597,-4.639296137654694,-0.8938137112171249,-0.8938137112171249
737500000,-21.440668896787983,-139.06454943299488,-139.06454943299488,-8.481549870734394,-138.2017950945841,-138.2017950945841,-10.126415956805804,-122.39892350499932,-122.39892350499932,-4.04377252512518,-4.482882735693028,-4.482882735693028
750000000,-21.02282126067204,-159.7269704341514,-159.7269704341514,-9.069970964671239,-131.64637107002687,-131.64637107002687,-10.65301698651438,-127.59035452177157,-127.59035452177157,-4.634464804401514,-7.922294072164657,-7.922294072164657
762500000,-23.15220744852036,-173.36496510062003,-173.36496510062003,-10.413913311608686,-126.80944229215751,-126.80944229215751,-10.041142779397878,-129.52291342790815,-129.52291342790815,-4.445878395789449,-13.491099016136317,-13.491099016136317
775000000,-21.24517230152771,159.26623900647132,-200.73376099352868,-12.195057041871411,-126.21088989150218,-126.21088989150218,-9.671937005122404,-122.74634516959233,-122.74634516959233,-4.516463155737232,-18.897983075459713,-18.897983075459713
787500000,0.2660512814525192,173.61771854602964,-186.38228145397036,-17.926994785208738,-68.16932622693417,-68.16932622693417,-24.22932479641132,114.31621436047315,-245.68378563952683,-15.997570515935223,-68.41260143584337,-68.41260143584337
800000000,-20.212815771339926,141.40929751551025,-218.59070248448975,-11.392992076338636,-127.60708949304185,-127.60708949304185,-10.567714949818864,-107.91916516116646,-107.91916516116646,-4.692096542968545,-32.7731439380078,-32.7731439380078
812500000,-17.821257433550713,107.56447643600616,-252.43552356399385,-10.138916683433418,-120.03229248059725,-120.03229248059725,-11.576618781913053,-107.36751491248774,-107.36751491248774,-4.439190061363903,-34.657285025138606,-34.657285025138606
825000000,-18.527130840216103,90.1677037023605,-269.8322962976395,-9.865532487353974,-110.04638263607666,-110.04638263607666,-11.007256539677261,-110.56203083462205,-110.56203083462205,-5.105170763338087,-34.726300731170255,-34.726300731170255
837500000,-17.100080015560252,97.4758702036908,-262.5241297963092,-10.43273581992186,-102.34227764650221,-102.34227764650221,-9.607199802026022,-113.06480971549595,-113.06480971549595,-5.7816242732940015,-35.62842318497517,-35.62842318497517
